key,desc,supplier,part_no,url,qty,unit,current_low,current_high,new_low,new_high,checked_date,note
walkway-floor-anchors,M10 wedge floor anchors,McMaster-Carr,,,20,ea,1.25,2.25,,,,
pvc-trunking,"40×25mm PVC cable trunking, 5m",McMaster-Carr,,,4,ea,10,10,,,,
panel-grab-handle,"316 SS D-grab pull handle (~300mm) + 2× M8 SS bolts + backing plate, matte-black",McMaster-Carr,,,1,ea,20,35,,,,
filter-ubracket,Steel U-bracket (filter housing),McMaster-Carr,,,3,ea,7,10,,,,
corrugated-conduit,"10mm corrugated conduit, drop runs (McMaster 7828K48)",McMaster-Carr,7828K48,https://www.mcmaster.com/7828K48,10,m,3,3,,,,
ll-grab-rail,100mm Ø SS grab rail,McMaster-Carr,,,1,ea,15,25,,,,
filter-hdpe-spacer,HDPE spacer blocks 25mm (filter skid),McMaster-Carr,,,1,lot,12,22,,,,
ibcf-m12-bolt,"M12 × 40 bolt, Grade 8.8",McMaster-Carr,,,12,ea,1,1.83333,,,,
tray-silicone-gasket,Silicone gasket strip,McMaster-Carr,,,1,ea,20,20,,,,
spray-skate-wheel,"Acetal (Delrin) roller wheel, Ø32 × 20mm, Ø10 plain bore",McMaster-Carr,,https://www.mcmaster.com/products/acetal-round-stock/,4,ea,3,5,,,,
shelf-piano-hinge,"Continuous (piano) hinge, 600 mm",McMaster-Carr,,,1,ea,20,20,,,,
saddle-m8-hex,"M8 hex fixing bolt + nut, SS",McMaster-Carr,,,8,ea,2,2,,,,
cable-grommets,Cable grommets / glands — steel-shell penetrations,McMaster-Carr,,,1,lot,15,15,,,,
clamp-neoprene,Neoprene strip 60A,McMaster-Carr,8614K44,https://www.mcmaster.com/8614K44,1,roll,15,15,,,,
ll-silicone-sealant,"Silicone bead sealant (black, UV-stable)",McMaster-Carr,,,1,ea,10,15,,,,
clamp-m5-nut,M5 SS Nylock nut,McMaster-Carr,93625A200,,184,ea,0.08,0.08,,,,
tray-m6-bolts,M6 SS hex bolts + flange nuts,McMaster-Carr,,,12,ea,1,1,,,,
shelf-m8-bolts,M8 wall bolts + washers/nuts,McMaster-Carr,,,12,ea,1,1,,,,
spray-saddle-clamp,Formed 2mm 304 SS saddle clamp (axle retainer),McMaster-Carr,,https://www.mcmaster.com/products/multipurpose-304-stainless-steel/,8,ea,1.25,1.25,,,,
spray-beam-clamp,SS beam clamp plates (top + bottom) + spacers (25mm),McMaster-Carr,,,4,ea,2.5,2.5,,,,
spray-m6-bolts,M6×20 SS bolts + nyloc nuts,McMaster-Carr,,,16,ea,0.4375,0.4375,,,,
power-panel-gasket,Neoprene gasket 340×240×3mm (panel weatherseal),McMaster-Carr,,,1,ea,6,6,,,,
spray-self-tap,Self-tapping SS screws (8-pack),McMaster-Carr,,,4,ea,1.25,1.25,,,,
power-panel-bolts,"M6 bolt+nut+washer set, SS (panel mount)",McMaster-Carr,,,4,set,1.25,1.25,,,,
shelf-csk-screws,M5×16 mm CSK screws,McMaster-Carr,,,8,ea,0.5,0.5,,,,
spray-pinch-bolt,M6 SS hex bolt + nut,McMaster-Carr,,,1,ea,1,1,,,,
